Weather Disasters to affect the U.S. from 1980-2023 (CPI-Adjusted),,,,,,,,,,,,,,,,,,,,,,,
Name,Disaster,Disaster Group,Begin Date,Yb,Mb,Db,End Date,Ye,Me,De,Total CPI-Adjusted Cost (Millions of Dollars),Deaths,Durn (days),Durn (Weeks),Durn (Cal Mos),Central Day,Day of W_yr,MidPt Mo,W_Yr,W_Week,W_Mo,SeasNum,Season
Southeast Severe Weather (March 2005),Severe Storm,SevStorm/Flood,3/24/2005,2005,3,24,3/27/2005,2005,3,27,1375.4,0,2,1,1,3/25/2005,84,3,2005,12,3,2,Spring
Hurricane Dennis (July 2005),Tropical Cyclone,Tropical Cyclone,7/9/2005,2005,7,9,7/11/2005,2005,7,11,3917.1,15,1,1,1,7/10/2005,191,7,2005,28,7,3,Summer
Hurricane Katrina (August 2005),Tropical Cyclone,Tropical Cyclone,8/25/2005,2005,8,25,8/30/2005,2005,8,30,195046.1,1833,4,1,1,8/27/2005,239,8,2005,35,8,3,Summer
Midwest Drought (Spring-Summer 2005),Drought,WF/Drought,3/1/2005,2005,3,1,8/31/2005,2005,8,31,2374.6,0,182,26,7,5/31/2005,151,5,2005,22,5,2,Spring
Hurricane Rita (September 2005),Tropical Cyclone,Tropical Cyclone,9/20/2005,2005,9,20,9/24/2005,2005,9,24,28490.1,119,3,1,1,9/22/2005,265,9,2005,38,9,4,Fall
Hurricane Wilma (October 2005),Tropical Cyclone,Tropical Cyclone,10/24/2005,2005,10,24,10/24/2005,2005,10,24,29260,35,-1,0,0,10/24/2005,297,10,2005,43,10,4,Fall
Severe Storms and Tornadoes (March 2006),Severe Storm,SevStorm/Flood,3/8/2006,2006,3,8,3/13/2006,2006,3,13,2059.9,10,4,1,1,3/10/2006,69,3,2006,10,3,2,Spring
"Midwest/Southeast Tornadoes (April 6-8, 2006)",Severe Storm,SevStorm/Flood,4/6/2006,2006,4,6,4/8/2006,2006,4,8,2437.8,10,1,1,1,4/7/2006,97,4,2006,14,4,2,Spring
Midwest Tornadoes (April 2006),Severe Storm,SevStorm/Flood,4/13/2006,2006,4,13,4/16/2006,2006,4,16,3683.8,27,2,1,1,4/14/2006,104,4,2006,15,4,2,Spring
Northeast Flooding (June 2006),Flooding,SevStorm/Flood,6/25/2006,2006,6,25,6/28/2006,2006,6,28,2297.7,20,2,1,1,6/26/2006,177,6,2006,26,6,3,Summer
